parents_occupation,child_nursery,family_form,num_children,housing,financial_standing,social_conditions,health_conditions,application_decision
usual,proper,complete,1,,,,recommended,recommended
usual,,complete,1,convenient,,,priority,priority
usual,proper,complete,,convenient,convenient,non-problematic,not recommended,
usual,proper,,1,,,slightly problematic,recommended,recommended
usual,,complete,1,,convenient,,priority,priority
usual,proper,complete,1,,convenient,slightly problematic,not recommended,not recommended
usual,proper,,,,convenient,problematic,recommended,priority
usual,proper,complete,,convenient,,problematic,priority,
,proper,complete,1,convenient,,problematic,,not recommended
usual,proper,,1,convenient,inconvenient,non-problematic,recommended,very recommended
,proper,complete,1,convenient,inconvenient,non-problematic,priority,
,,complete,1,convenient,inconvenient,non-problematic,not recommended,not recommended
usual,,complete,,convenient,inconvenient,slightly problematic,recommended,very recommended
,proper,complete,1,convenient,inconvenient,,priority,priority
usual,proper,,1,convenient,inconvenient,,not recommended,not recommended
usual,proper,complete,1,convenient,inconvenient,problematic,recommended,priority
usual,,complete,1,,inconvenient,problematic,priority,
usual,proper,complete,1,convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,,1,less convenient,,,recommended,very recommended
,proper,complete,1,,convenient,non-problematic,priority,
usual,,complete,1,less convenient,convenient,non-problematic,not recommended,not recommended
usual,,complete,1,less convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,complete,,,convenient,slightly problematic,,
usual,,,1,less convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,complete,1,less convenient,convenient,,recommended,priority
usual,proper,complete,1,less convenient,convenient,problematic,priority,priority
,proper,complete,,less convenient,,problematic,not recommended,not recommended
usual,,complete,1,less convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,,1,less convenient,inconvenient,non-problematic,,priority
usual,,complete,1,less convenient,inconvenient,non-problematic,not recommended,not recommended
usual,proper,complete,1,less convenient,inconvenient,slightly problematic,recommended,very recommended
usual,proper,complete,1,,inconvenient,,priority,priority
usual,proper,,,less convenient,inconvenient,,not recommended,not recommended
usual,proper,,,less convenient,inconvenient,problematic,recommended,priority
usual,proper,complete,1,less convenient,,,priority,priority
usual,proper,,,less convenient,inconvenient,problematic,not recommended,not recommended
usual,proper,complete,1,critical,convenient,non-problematic,recommended,
,,,1,critical,convenient,,priority,priority
,proper,complete,1,critical,,non-problematic,not recommended,not recommended
usual,proper,,,critical,,slightly problematic,recommended,very recommended
usual,proper,complete,1,critical,convenient,slightly problematic,priority,
,,,,critical,,slightly problematic,not recommended,
usual,proper,,1,critical,convenient,problematic,recommended,priority
,proper,complete,1,critical,convenient,problematic,priority,priority
usual,proper,complete,1,,convenient,problematic,not recommended,not recommended
usual,proper,,1,,inconvenient,non-problematic,recommended,very recommended
usual,proper,complete,1,critical,inconvenient,non-problematic,priority,
usual,,complete,1,critical,inconvenient,,,not recommended
usual,,,1,,inconvenient,slightly problematic,,
usual,proper,complete,1,critical,inconvenient,slightly problematic,priority,
usual,proper,complete,1,,inconvenient,,not recommended,
,,complete,1,critical,inconvenient,problematic,recommended,priority
usual,proper,,1,,inconvenient,problematic,priority,
usual,proper,complete,1,critical,inconvenient,problematic,not recommended,not recommended
,proper,complete,2,convenient,convenient,non-problematic,,very recommended
usual,proper,,2,convenient,convenient,non-problematic,priority,priority
usual,,complete,2,convenient,convenient,non-problematic,not recommended,not recommended
usual,,,2,convenient,convenient,,recommended,very recommended
usual,proper,complete,2,convenient,convenient,,priority,priority
usual,proper,complete,2,convenient,convenient,slightly problematic,not recommended,
usual,proper,complete,2,convenient,convenient,,recommended,priority
usual,proper,complete,2,convenient,convenient,problematic,,
usual,proper,complete,2,,,problematic,not recommended,not recommended
usual,proper,complete,2,convenient,inconvenient,non-problematic,recommended,very recommended
,proper,complete,2,convenient,inconvenient,non-problematic,priority,priority
usual,,,,,,non-problematic,,not recommended
usual,proper,complete,,,,,recommended,
,,complete,2,convenient,inconvenient,slightly problematic,,priority
usual,,complete,2,,inconvenient,slightly problematic,not recommended,
usual,proper,complete,2,convenient,inconvenient,problematic,,priority
usual,proper,complete,2,,inconvenient,problematic,priority,priority
usual,,complete,2,convenient,,problematic,not recommended,not recommended
usual,proper,,2,less convenient,convenient,non-problematic,,very recommended
usual,proper,complete,2,less convenient,convenient,non-problematic,,
usual,,,2,,convenient,,not recommended,not recommended
usual,,complete,2,less convenient,convenient,slightly problematic,,very recommended
usual,proper,complete,2,less convenient,,slightly problematic,priority,priority
usual,,complete,2,less convenient,,slightly problematic,not recommended,
usual,,,2,less convenient,convenient,problematic,recommended,priority
usual,proper,complete,2,less convenient,convenient,problematic,,priority
usual,,,2,less convenient,convenient,,not recommended,not recommended
,,complete,2,less convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,complete,2,less convenient,inconvenient,non-problematic,priority,priority
usual,proper,complete,,less convenient,inconvenient,non-problematic,,not recommended
usual,proper,complete,2,,inconvenient,slightly problematic,recommended,
usual,proper,complete,2,less convenient,,slightly problematic,,priority
usual,,complete,2,less convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,,complete,2,less convenient,inconvenient,problematic,,priority
usual,proper,,2,less convenient,inconvenient,problematic,priority,priority
,proper,complete,2,less convenient,inconvenient,problematic,not recommended,
usual,proper,,2,critical,convenient,non-problematic,recommended,
usual,proper,,2,critical,convenient,non-problematic,priority,priority
usual,proper,complete,2,,,non-problematic,not recommended,not recommended
usual,proper,complete,,critical,,slightly problematic,,priority
,proper,complete,2,,convenient,slightly problematic,priority,priority
,,complete,2,,convenient,slightly problematic,not recommended,not recommended
usual,proper,,,critical,convenient,problematic,recommended,priority
usual,,,2,critical,,problematic,priority,priority
,,complete,,critical,convenient,,not recommended,not recommended
usual,proper,complete,2,critical,inconvenient,non-problematic,,
usual,,,2,critical,inconvenient,non-problematic,priority,priority
usual,proper,complete,2,critical,inconvenient,non-problematic,not recommended,not recommended
usual,,complete,2,critical,inconvenient,slightly problematic,,priority
usual,proper,complete,,critical,inconvenient,slightly problematic,,priority
,proper,,2,critical,inconvenient,slightly problematic,not recommended,not recommended
,,complete,2,critical,inconvenient,problematic,,priority
usual,proper,complete,,,inconvenient,,priority,priority
usual,proper,complete,2,critical,inconvenient,problematic,not recommended,not recommended
usual,proper,,3,convenient,,non-problematic,recommended,very recommended
usual,,,3,convenient,convenient,non-problematic,priority,priority
usual,proper,complete,3,convenient,,non-problematic,,not recommended
usual,,complete,3,convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,complete,3,convenient,,slightly problematic,priority,
usual,proper,,3,convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,complete,3,,convenient,problematic,,
usual,proper,complete,,convenient,convenient,problematic,priority,priority
usual,proper,complete,,convenient,,problematic,not recommended,not recommended
usual,proper,complete,3,convenient,inconvenient,non-problematic,recommended,priority
usual,proper,complete,3,convenient,,non-problematic,priority,priority
usual,,,3,convenient,inconvenient,non-problematic,not recommended,not recommended
usual,,complete,3,convenient,inconvenient,slightly problematic,,priority
usual,proper,complete,3,convenient,inconvenient,,priority,
usual,proper,,3,convenient,inconvenient,slightly problematic,,not recommended
usual,proper,,3,convenient,inconvenient,problematic,recommended,priority
,proper,complete,,convenient,inconvenient,problematic,priority,priority
usual,,complete,3,convenient,inconvenient,problematic,,not recommended
usual,,complete,3,less convenient,convenient,non-problematic,recommended,priority
usual,proper,complete,3,less convenient,convenient,non-problematic,priority,priority
usual,proper,complete,3,,convenient,non-problematic,,not recommended
,proper,complete,,less convenient,convenient,slightly problematic,,priority
usual,proper,complete,3,less convenient,convenient,slightly problematic,,priority
usual,proper,complete,3,less convenient,,slightly problematic,not recommended,
usual,proper,,3,less convenient,convenient,,recommended,priority
usual,proper,,3,,,problematic,priority,priority
usual,proper,complete,3,less convenient,convenient,,not recommended,not recommended
usual,,complete,3,less convenient,inconvenient,,recommended,priority
usual,proper,complete,3,less convenient,inconvenient,non-problematic,priority,priority
,proper,complete,3,less convenient,inconvenient,,not recommended,not recommended
usual,proper,complete,3,,,slightly problematic,recommended,priority
usual,,,3,less convenient,inconvenient,slightly problematic,,priority
usual,proper,complete,3,,,slightly problematic,not recommended,not recommended
usual,proper,complete,3,,inconvenient,,recommended,priority
,proper,complete,3,less convenient,,problematic,priority,
usual,,,3,,inconvenient,problematic,not recommended,not recommended
,,complete,3,,convenient,,recommended,priority
usual,proper,complete,3,critical,,non-problematic,priority,priority
usual,proper,complete,3,,,non-problematic,,not recommended
usual,proper,complete,,critical,convenient,slightly problematic,recommended,priority
usual,proper,complete,3,,convenient,,,priority
usual,proper,complete,3,critical,convenient,slightly problematic,not recommended,
usual,proper,complete,3,critical,convenient,problematic,recommended,priority
usual,proper,complete,3,critical,convenient,,priority,priority
,proper,complete,,critical,convenient,problematic,not recommended,not recommended
usual,proper,complete,,critical,inconvenient,non-problematic,recommended,priority
usual,,complete,3,critical,,,priority,priority
usual,proper,complete,3,critical,,,,not recommended
usual,proper,complete,3,critical,inconvenient,slightly problematic,,priority
,proper,complete,,,inconvenient,slightly problematic,priority,priority
,,complete,3,,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,,,inconvenient,problematic,recommended,priority
usual,,complete,3,critical,,problematic,priority,priority
usual,proper,complete,3,critical,,problematic,not recommended,not recommended
usual,proper,complete,more than 3,,convenient,non-problematic,,very recommended
usual,proper,complete,more than 3,convenient,convenient,non-problematic,priority,priority
usual,proper,complete,more than 3,convenient,,non-problematic,,not recommended
usual,proper,complete,more than 3,convenient,convenient,slightly problematic,recommended,
usual,proper,complete,more than 3,convenient,convenient,slightly problematic,priority,
usual,proper,complete,more than 3,convenient,convenient,slightly problematic,not recommended,not recommended
usual,,,,convenient,convenient,problematic,recommended,
usual,proper,,more than 3,convenient,convenient,problematic,priority,priority
usual,proper,complete,more than 3,convenient,,,not recommended,
usual,proper,,more than 3,convenient,inconvenient,non-problematic,recommended,priority
,proper,complete,more than 3,convenient,inconvenient,non-problematic,priority,priority
usual,proper,complete,more than 3,convenient,inconvenient,non-problematic,not recommended,not recommended
usual,,complete,more than 3,convenient,,slightly problematic,recommended,priority
,,complete,more than 3,convenient,inconvenient,slightly problematic,priority,priority
usual,,complete,more than 3,convenient,inconvenient,slightly problematic,not recommended,
,proper,complete,more than 3,,,problematic,,priority
usual,proper,,more than 3,,inconvenient,problematic,priority,priority
usual,proper,complete,more than 3,convenient,inconvenient,problematic,not recommended,not recommended
usual,,complete,more than 3,,convenient,non-problematic,recommended,
usual,proper,complete,more than 3,less convenient,convenient,non-problematic,priority,
usual,proper,complete,more than 3,less convenient,convenient,,not recommended,
usual,proper,complete,,less convenient,convenient,slightly problematic,,priority
usual,proper,complete,more than 3,less convenient,convenient,slightly problematic,priority,priority
usual,proper,complete,,less convenient,convenient,slightly problematic,not recommended,not recommended
usual,proper,,more than 3,,convenient,problematic,recommended,priority
usual,,complete,more than 3,less convenient,convenient,problematic,,priority
usual,,complete,,,,problematic,not recommended,not recommended
usual,proper,complete,more than 3,,inconvenient,non-problematic,recommended,priority
,,complete,more than 3,,inconvenient,,priority,priority
usual,,,more than 3,,inconvenient,,not recommended,not recommended
usual,proper,complete,more than 3,less convenient,inconvenient,,recommended,priority
,proper,complete,more than 3,less convenient,inconvenient,,priority,priority
,proper,complete,,less convenient,inconvenient,,not recommended,not recommended
usual,proper,complete,,less convenient,inconvenient,problematic,,priority
,proper,complete,more than 3,less convenient,inconvenient,problematic,priority,priority
usual,proper,complete,more than 3,less convenient,inconvenient,problematic,,not recommended
usual,proper,complete,more than 3,critical,convenient,,recommended,
usual,proper,complete,,,convenient,,,
usual,proper,complete,more than 3,critical,convenient,non-problematic,,
,proper,complete,more than 3,,,slightly problematic,recommended,priority
usual,proper,complete,,critical,convenient,slightly problematic,priority,
usual,proper,complete,more than 3,critical,convenient,slightly problematic,not recommended,not recommended
,proper,complete,more than 3,critical,convenient,problematic,recommended,priority
usual,,,more than 3,critical,convenient,problematic,priority,priority
usual,proper,complete,more than 3,critical,convenient,problematic,not recommended,
usual,proper,complete,,,,non-problematic,recommended,priority
usual,proper,complete,more than 3,critical,inconvenient,non-problematic,priority,priority
usual,proper,complete,,critical,,non-problematic,not recommended,not recommended
,proper,complete,more than 3,critical,inconvenient,slightly problematic,,priority
usual,proper,,more than 3,,inconvenient,slightly problematic,priority,priority
usual,,complete,more than 3,critical,inconvenient,slightly problematic,not recommended,not recommended
usual,proper,complete,more than 3,,inconvenient,problematic,recommended,
usual,proper,complete,,critical,inconvenient,problematic,priority,priority
usual,proper,complete,more than 3,,,problematic,not recommended,not recommended
usual,proper,completed,,convenient,convenient,,recommended,very recommended
usual,proper,completed,1,convenient,convenient,non-problematic,,priority
usual,proper,completed,1,,convenient,non-problematic,,
usual,proper,completed,1,convenient,convenient,slightly problematic,recommended,very recommended
,proper,completed,1,,,slightly problematic,priority,priority
usual,proper,,1,,convenient,slightly problematic,not recommended,
,proper,completed,1,convenient,convenient,problematic,recommended,priority
usual,,completed,,,convenient,,priority,priority
usual,proper,,1,convenient,convenient,problematic,,not recommended
usual,proper,completed,1,convenient,,non-problematic,recommended,very recommended
usual,proper,,,convenient,inconvenient,non-problematic,priority,priority
,proper,completed,,convenient,inconvenient,,not recommended,not recommended
,proper,completed,1,convenient,inconvenient,slightly problematic,recommended,
usual,proper,completed,,convenient,inconvenient,slightly problematic,,priority
usual,proper,completed,1,convenient,inconvenient,slightly problematic,not recommended,not recommended
usual,,,1,convenient,inconvenient,problematic,,priority
usual,proper,completed,1,convenient,inconvenient,problematic,priority,priority
