parents_occupation,child_nursery,family_form,num_children,housing,financial_standing,social_conditions,health_conditions,application_decision
,proper,complete,1,,,,recommended,recommended
usual,,complete,1,,,,,priority
,,complete,,,,,not recommended,
usual,proper,,1,,,slightly problematic,recommended,recommended
,,complete,,,,,priority,
usual,,complete,1,,convenient,slightly problematic,not recommended,not recommended
usual,proper,,,,,,,priority
,,complete,,convenient,,problematic,priority,
,proper,complete,1,convenient,,,,not recommended
usual,,,,,inconvenient,non-problematic,recommended,
,proper,complete,1,convenient,,non-problematic,,
,,complete,,convenient,inconvenient,,,not recommended
,,,,convenient,inconvenient,slightly problematic,recommended,very recommended
,proper,complete,1,convenient,,,,
usual,proper,,1,,,,,not recommended
,proper,complete,,convenient,inconvenient,,,
,,complete,1,,,problematic,,
,proper,,1,convenient,,problematic,,not recommended
usual,proper,,1,,,,recommended,very recommended
,proper,,1,,convenient,,priority,
,,complete,1,,convenient,non-problematic,not recommended,not recommended
,,complete,1,less convenient,,,recommended,very recommended
usual,proper,complete,,,convenient,slightly problematic,,
usual,,,1,less convenient,convenient,,not recommended,
,proper,complete,1,less convenient,convenient,,,
,proper,,1,less convenient,convenient,problematic,priority,
,proper,,,less convenient,,problematic,not recommended,not recommended
,,complete,,less convenient,inconvenient,non-problematic,,
usual,,,1,less convenient,inconvenient,non-problematic,,priority
usual,,complete,1,less convenient,inconvenient,non-problematic,,
usual,proper,complete,1,less convenient,inconvenient,slightly problematic,recommended,very recommended
usual,proper,,,,inconvenient,,,priority
,proper,,,less convenient,,,not recommended,not recommended
,proper,,,less convenient,inconvenient,problematic,recommended,priority
usual,,complete,,,,,priority,priority
usual,,,,,inconvenient,problematic,not recommended,
usual,proper,complete,1,,,,recommended,
,,,1,critical,,,,
,,,1,critical,,,not recommended,not recommended
usual,proper,,,critical,,slightly problematic,recommended,very recommended
,proper,,1,critical,,slightly problematic,priority,
,,,,critical,,,not recommended,
usual,,,1,critical,convenient,problematic,recommended,
,proper,complete,1,,,problematic,,priority
usual,,complete,1,,convenient,problematic,not recommended,
usual,,,1,,,non-problematic,recommended,very recommended
usual,,,,critical,inconvenient,non-problematic,priority,
,,complete,,critical,,,,not recommended
usual,,,1,,inconvenient,slightly problematic,,
usual,,,1,critical,inconvenient,slightly problematic,,
usual,proper,,1,,,,,
,,complete,1,critical,inconvenient,,,priority
,proper,,1,,inconvenient,problematic,priority,
usual,proper,complete,1,critical,,problematic,not recommended,not recommended
,,complete,2,,convenient,,,
,proper,,2,convenient,convenient,non-problematic,,priority
usual,,complete,2,convenient,convenient,non-problematic,,not recommended
usual,,,,convenient,convenient,,recommended,
usual,proper,complete,,,,,priority,priority
usual,proper,complete,2,convenient,convenient,,,
usual,proper,,2,convenient,,,recommended,priority
usual,proper,complete,2,convenient,convenient,,,
usual,proper,complete,,,,,not recommended,
,proper,,2,convenient,,non-problematic,recommended,very recommended
,proper,,,,inconvenient,,,priority
,,,,,,non-problematic,,
usual,,complete,,,,,,
,,,,,inconvenient,slightly problematic,,priority
usual,,complete,2,,,slightly problematic,not recommended,
,,,2,,,problematic,,
usual,proper,complete,2,,,problematic,,
,,,,,,problematic,not recommended,not recommended
usual,,,2,less convenient,convenient,,,
,proper,complete,,less convenient,convenient,,,
,,,,,convenient,,not recommended,
usual,,,2,less convenient,convenient,,,very recommended
usual,proper,complete,,less convenient,,,,priority
,,complete,,less convenient,,,not recommended,
,,,2,,convenient,,recommended,priority
usual,,,,less convenient,convenient,problematic,,priority
usual,,,2,less convenient,convenient,,not recommended,
,,complete,2,less convenient,,non-problematic,,very recommended
,,,,less convenient,inconvenient,,priority,
usual,proper,complete,,less convenient,inconvenient,,,not recommended
usual,proper,complete,2,,,,recommended,
usual,proper,complete,,less convenient,,slightly problematic,,
usual,,,2,less convenient,inconvenient,slightly problematic,not recommended,
,,complete,2,,,problematic,,priority
usual,proper,,2,less convenient,inconvenient,problematic,priority,priority
,proper,complete,,less convenient,inconvenient,problematic,,
usual,proper,,2,critical,convenient,non-problematic,,
,proper,,,,convenient,non-problematic,,
usual,,,,,,,,not recommended
,proper,complete,,critical,,slightly problematic,,
