parents_occupation,child_nursery,family_form,num_children,housing,financial_standing,social_conditions,health_conditions,application_decision
,proper,complete,1,,,,recommended,recommended
usual,,complete,1,,,,,priority
usual,,complete,,,,non-problematic,not recommended,
usual,proper,,1,,,slightly problematic,recommended,recommended
,,complete,1,,convenient,,priority,
usual,,complete,1,,convenient,slightly problematic,not recommended,not recommended
usual,proper,,,,,,,priority
,,complete,,convenient,,problematic,priority,
,proper,complete,1,convenient,,,,not recommended
usual,,,,,inconvenient,non-problematic,recommended,very recommended
,proper,complete,1,convenient,inconvenient,non-problematic,priority,
,,complete,,convenient,inconvenient,,not recommended,not recommended
,,,,convenient,inconvenient,slightly problematic,recommended,very recommended
,proper,complete,1,convenient,,,,priority
usual,proper,,1,convenient,,,,not recommended
,proper,complete,,convenient,inconvenient,,recommended,
,,complete,1,,,problematic,,
usual,proper,,1,convenient,,problematic,,not recommended
usual,proper,,1,,,,recommended,very recommended
,proper,,1,,convenient,,priority,
,,complete,1,,convenient,non-problematic,not recommended,not recommended
,,complete,1,less convenient,,,recommended,very recommended
usual,proper,complete,,,convenient,slightly problematic,,
usual,,,1,less convenient,convenient,,not recommended,
,proper,complete,1,less convenient,convenient,,,
,proper,,1,less convenient,convenient,problematic,priority,priority
,proper,,,less convenient,,problematic,not recommended,not recommended
,,complete,1,less convenient,inconvenient,non-problematic,,
usual,,,1,less convenient,inconvenient,non-problematic,,priority
usual,,complete,1,less convenient,inconvenient,non-problematic,,
usual,proper,complete,1,less convenient,inconvenient,slightly problematic,recommended,very recommended
usual,proper,,,,inconvenient,,priority,priority
,proper,,,less convenient,,,not recommended,not recommended
,proper,,,less convenient,inconvenient,problematic,recommended,priority
usual,,complete,,less convenient,,,priority,priority
usual,proper,,,,inconvenient,problematic,not recommended,
usual,proper,complete,1,critical,,,recommended,
,,,1,critical,convenient,,priority,priority
,proper,,1,critical,,,not recommended,not recommended
usual,proper,,,critical,,slightly problematic,recommended,very recommended
,proper,complete,1,critical,,slightly problematic,priority,
,,,,critical,,,not recommended,
usual,,,1,critical,convenient,problematic,recommended,
,proper,complete,1,critical,,problematic,,priority
usual,proper,complete,1,,convenient,problematic,not recommended,
usual,,,1,,,non-problematic,recommended,very recommended
usual,proper,,,critical,inconvenient,non-problematic,priority,
usual,,complete,1,critical,,,,not recommended
usual,,,1,,inconvenient,slightly problematic,,
usual,,,1,critical,inconvenient,slightly problematic,,
usual,proper,complete,1,,inconvenient,,not recommended,
,,complete,1,critical,inconvenient,,,priority
,proper,,1,,inconvenient,problematic,priority,
usual,proper,complete,1,critical,inconvenient,problematic,not recommended,not recommended
,,complete,2,convenient,convenient,,,very recommended
,proper,,2,convenient,convenient,non-problematic,,priority
usual,,complete,2,convenient,convenient,non-problematic,not recommended,not recommended
usual,,,,convenient,convenient,,recommended,
usual,proper,complete,2,convenient,,,priority,priority
usual,proper,complete,2,convenient,convenient,,not recommended,
usual,proper,,2,convenient,,,recommended,priority
usual,proper,complete,2,convenient,convenient,problematic,,
usual,proper,complete,,,,,not recommended,
usual,proper,,2,convenient,,non-problematic,recommended,very recommended
,proper,complete,,convenient,inconvenient,non-problematic,,priority
,,,,,,non-problematic,,
usual,proper,complete,,,,,,
,,complete,,,inconvenient,slightly problematic,,priority
usual,,complete,2,,,slightly problematic,not recommended,
,,complete,2,,inconvenient,problematic,,
usual,proper,complete,2,,inconvenient,problematic,,
,,,,,,problematic,not recommended,not recommended
usual,proper,,2,less convenient,convenient,non-problematic,,
,proper,complete,,less convenient,convenient,,,
,,,,,convenient,,not recommended,not recommended
usual,,,2,less convenient,convenient,,,very recommended
usual,proper,complete,,less convenient,,,priority,priority
,,complete,,less convenient,,slightly problematic,not recommended,
,,,2,,convenient,,recommended,priority
usual,proper,complete,,less convenient,convenient,problematic,,priority
usual,,,2,less convenient,convenient,,not recommended,
,,complete,2,less convenient,,non-problematic,,very recommended
usual,,complete,,less convenient,inconvenient,,priority,
usual,proper,complete,,less convenient,inconvenient,,,not recommended
usual,proper,complete,2,,,,recommended,
usual,proper,complete,,less convenient,,slightly problematic,,
usual,,,2,less convenient,inconvenient,slightly problematic,not recommended,
