parents_occupation,child_nursery,family_form,num_children,housing,financial_standing,social_conditions,health_conditions,application_decision
usual,proper,complete,1,,,,recommended,recommended
usual,,complete,1,,,,priority,priority
usual,,complete,,,convenient,non-problematic,not recommended,
usual,proper,,1,,,slightly problematic,recommended,recommended
usual,,complete,1,,convenient,,priority,
usual,proper,complete,1,,convenient,slightly problematic,not recommended,not recommended
usual,proper,,,,convenient,problematic,,priority
usual,,complete,,convenient,,problematic,priority,
,proper,complete,1,convenient,,problematic,,not recommended
usual,proper,,1,convenient,inconvenient,non-problematic,recommended,very recommended
,proper,complete,1,convenient,inconvenient,non-problematic,priority,
,,complete,1,convenient,inconvenient,,not recommended,not recommended
,,,,convenient,inconvenient,slightly problematic,recommended,very recommended
,proper,complete,1,convenient,inconvenient,,,priority
usual,proper,,1,convenient,,,not recommended,not recommended
usual,proper,complete,1,convenient,inconvenient,,recommended,priority
,,complete,1,,,problematic,,
usual,proper,,1,convenient,,problematic,not recommended,not recommended
usual,proper,,1,less convenient,,,recommended,very recommended
,proper,,1,,convenient,non-problematic,priority,
usual,,complete,1,,convenient,non-problematic,not recommended,not recommended
,,complete,1,less convenient,convenient,slightly problematic,recommended,very recommended
usual,proper,complete,,,convenient,slightly problematic,,
usual,,,1,less convenient,convenient,,not recommended,
usual,proper,complete,1,less convenient,convenient,,recommended,
,proper,complete,1,less convenient,convenient,problematic,priority,priority
,proper,,,less convenient,,problematic,not recommended,not recommended
usual,,complete,1,less convenient,inconvenient,non-problematic,,very recommended
usual,proper,,1,less convenient,inconvenient,non-problematic,,priority
usual,,complete,1,less convenient,inconvenient,non-problematic,not recommended,
usual,proper,complete,1,less convenient,inconvenient,slightly problematic,recommended,very recommended
usual,proper,complete,1,,inconvenient,,priority,priority
,proper,,,less convenient,inconvenient,,not recommended,not recommended
,proper,,,less convenient,inconvenient,problematic,recommended,priority
usual,proper,complete,,less convenient,,,priority,priority
usual,proper,,,,inconvenient,problematic,not recommended,
usual,proper,complete,1,critical,,non-problematic,recommended,
,,,1,critical,convenient,,priority,priority
,proper,complete,1,critical,,non-problematic,not recommended,not recommended
usual,proper,,,critical,,slightly problematic,recommended,very recommended
usual,proper,complete,1,critical,convenient,slightly problematic,priority,
,,,,critical,,slightly problematic,not recommended,
usual,,,1,critical,convenient,problematic,recommended,
,proper,complete,1,critical,convenient,problematic,priority,priority
usual,proper,complete,1,,convenient,problematic,not recommended,not recommended
usual,proper,,1,,inconvenient,non-problematic,recommended,very recommended
usual,proper,,1,critical,inconvenient,non-problematic,priority,
usual,,complete,1,critical,inconvenient,,,not recommended
usual,,,1,,inconvenient,slightly problematic,,
usual,proper,complete,1,critical,inconvenient,slightly problematic,priority,
usual,proper,complete,1,,inconvenient,,not recommended,
,,complete,1,critical,inconvenient,problematic,,priority
,proper,,1,,inconvenient,problematic,priority,
usual,proper,complete,1,critical,inconvenient,problematic,not recommended,not recommended
,,complete,2,convenient,convenient,,,very recommended
usual,proper,,2,convenient,convenient,non-problematic,priority,priority
usual,,complete,2,convenient,convenient,non-problematic,not recommended,not recommended
usual,,,2,convenient,convenient,,recommended,very recommended
usual,proper,complete,2,convenient,,,priority,priority
usual,proper,complete,2,convenient,convenient,,not recommended,
usual,proper,,2,convenient,convenient,,recommended,priority
usual,proper,complete,2,convenient,convenient,problematic,,
usual,proper,complete,,,,problematic,not recommended,not recommended
usual,proper,complete,2,convenient,inconvenient,non-problematic,recommended,very recommended
,proper,complete,,convenient,inconvenient,non-problematic,priority,priority
,,,,,,non-problematic,,not recommended
usual,proper,complete,,,,,,
,,complete,,convenient,inconvenient,slightly problematic,,priority
usual,,complete,2,,,slightly problematic,not recommended,
,proper,complete,2,convenient,inconvenient,problematic,,
usual,proper,complete,2,,inconvenient,problematic,,
usual,,complete,,convenient,,problematic,not recommended,not recommended
usual,proper,,2,less convenient,convenient,non-problematic,,
usual,proper,complete,2,less convenient,convenient,,,
,,,,,convenient,,not recommended,not recommended
usual,,complete,2,less convenient,convenient,,,very recommended
usual,proper,complete,,less convenient,,slightly problematic,priority,priority
,,complete,,less convenient,,slightly problematic,not recommended,
usual,,,2,less convenient,convenient,,recommended,priority
usual,proper,complete,2,less convenient,convenient,problematic,,priority
usual,,,2,less convenient,convenient,,not recommended,
,,complete,2,less convenient,inconvenient,non-problematic,recommended,very recommended
usual,proper,complete,2,less convenient,inconvenient,,priority,priority
