buying_price,maintenance_price,num_doors,num_persons,luggage_boot_size,safety_rating,car_acceptability
very high,very high,2,2,small,low,
very high,very high,2,,small,medium,unacceptable
very high,very high,2,2,small,high,unacceptable
very high,very high,2,2,medium,low,unacceptable
very high,,2,2,,medium,unacceptable
very high,very high,,2,medium,high,unacceptable
,very high,2,2,big,low,unacceptable
very high,very high,2,2,big,medium,unacceptable
,very high,,2,big,high,unacceptable
very high,very high,2,4,small,,unacceptable
very high,very high,,4,small,medium,unacceptable
,very high,2,4,small,high,
very high,very high,2,4,medium,low,unacceptable
very high,very high,2,4,medium,medium,unacceptable
,very high,,4,medium,high,unacceptable
very high,very high,2,4,,low,unacceptable
very high,very high,2,4,big,medium,unacceptable
very high,very high,2,4,big,high,unacceptable
very high,very high,,more than 4,small,low,unacceptable
very high,very high,2,more than 4,small,medium,unacceptable
very high,very high,2,more than 4,small,,unacceptable
very high,,2,more than 4,medium,low,unacceptable
very high,very high,2,more than 4,medium,medium,unacceptable
very high,very high,2,,medium,high,unacceptable
,very high,2,,big,low,unacceptable
very high,very high,2,more than 4,big,medium,unacceptable
very high,very high,2,more than 4,big,high,unacceptable
very high,,3,2,small,low,unacceptable
very high,very high,3,2,small,,unacceptable
very high,very high,,2,small,,unacceptable
very high,very high,3,2,medium,low,unacceptable
very high,very high,3,2,medium,,unacceptable
very high,very high,3,2,medium,high,unacceptable
very high,very high,3,2,big,low,
very high,very high,3,2,big,medium,
very high,very high,3,2,big,high,unacceptable
very high,very high,3,4,small,low,unacceptable
,very high,3,4,small,medium,unacceptable
very high,very high,3,4,small,high,unacceptable
very high,very high,3,4,medium,low,unacceptable
very high,very high,3,,medium,,unacceptable
very high,very high,3,,,high,unacceptable
very high,very high,3,4,big,,
very high,very high,3,4,big,medium,unacceptable
very high,very high,3,,,high,unacceptable
very high,very high,3,more than 4,small,low,unacceptable
very high,very high,3,more than 4,small,medium,unacceptable
very high,very high,3,,small,,
very high,very high,3,,medium,low,unacceptable
very high,very high,3,more than 4,,medium,unacceptable
very high,very high,3,more than 4,,high,
very high,very high,3,more than 4,big,low,unacceptable
very high,very high,3,more than 4,big,,unacceptable
,,3,,big,high,
very high,very high,4,2,small,low,unacceptable
very high,very high,4,2,small,medium,unacceptable
very high,very high,4,2,small,high,unacceptable
very high,very high,4,2,medium,low,unacceptable
very high,,4,,medium,medium,unacceptable
very high,very high,4,2,medium,high,unacceptable
very high,very high,,2,,low,unacceptable
very high,very high,4,2,big,medium,unacceptable
,very high,,2,big,,
very high,very high,4,4,small,low,unacceptable
very high,,4,4,small,medium,unacceptable
very high,,4,,small,high,unacceptable
very high,very high,4,4,medium,low,unacceptable
very high,,4,,medium,medium,unacceptable
,very high,4,4,medium,high,unacceptable
very high,very high,4,,big,low,unacceptable
very high,very high,4,4,big,medium,unacceptable
,very high,4,4,big,high,unacceptable
very high,very high,4,more than 4,small,low,unacceptable
very high,very high,4,,,medium,unacceptable
very high,very high,4,more than 4,small,high,unacceptable
very high,very high,4,,medium,low,unacceptable
very high,very high,4,more than 4,medium,medium,unacceptable
very high,very high,4,more than 4,medium,high,unacceptable
very high,very high,4,more than 4,big,low,unacceptable
very high,very high,4,more than 4,,medium,unacceptable
very high,very high,4,,big,high,unacceptable
very high,very high,5 or more,2,small,low,unacceptable
very high,very high,5 or more,2,small,medium,unacceptable
very high,very high,5 or more,2,small,,unacceptable
very high,very high,5 or more,2,medium,low,unacceptable
very high,very high,5 or more,2,,medium,unacceptable
very high,,5 or more,2,medium,high,unacceptable
very high,,5 or more,2,,low,unacceptable
,very high,5 or more,2,big,medium,unacceptable
very high,very high,5 or more,2,big,,unacceptable
very high,very high,5 or more,4,small,low,unacceptable
very high,very high,5 or more,,small,medium,unacceptable
very high,very high,5 or more,4,small,high,
very high,very high,5 or more,4,medium,low,unacceptable
very high,very high,5 or more,4,medium,medium,unacceptable
very high,very high,5 or more,4,medium,high,unacceptable
,very high,5 or more,4,big,low,unacceptable
very high,very high,5 or more,4,big,medium,unacceptable
very high,very high,5 or more,4,big,high,unacceptable
very high,very high,5 or more,more than 4,small,low,unacceptable
very high,,5 or more,more than 4,,medium,unacceptable
very high,very high,5 or more,more than 4,small,high,unacceptable
very high,very high,5 or more,more than 4,medium,low,unacceptable
very high,,5 or more,more than 4,medium,medium,unacceptable
very high,very high,5 or more,more than 4,medium,high,unacceptable
very high,very high,5 or more,more than 4,big,low,unacceptable
very high,very high,5 or more,more than 4,big,medium,unacceptable
very high,very high,5 or more,more than 4,big,high,unacceptable
very high,high,2,2,small,low,unacceptable
very high,,2,2,small,medium,unacceptable
very high,high,2,2,small,high,unacceptable
very high,high,2,2,medium,low,unacceptable
very high,high,2,2,medium,medium,unacceptable
very high,high,2,,medium,high,unacceptable
very high,high,2,2,big,low,unacceptable
very high,high,2,2,big,medium,unacceptable
very high,high,2,2,big,high,
very high,high,,4,small,low,unacceptable
very high,high,2,4,small,medium,unacceptable
very high,high,2,4,small,high,unacceptable
,high,2,4,medium,low,
very high,high,2,,medium,medium,unacceptable
very high,high,,4,medium,,unacceptable
very high,high,2,4,big,low,unacceptable
very high,high,2,4,big,medium,
very high,high,2,,big,high,unacceptable
,high,2,more than 4,small,low,
very high,high,2,more than 4,small,medium,unacceptable
very high,high,,,small,,unacceptable
very high,high,2,more than 4,medium,low,unacceptable
very high,high,2,more than 4,medium,medium,unacceptable
very high,high,2,more than 4,medium,high,unacceptable
very high,,2,more than 4,big,low,unacceptable
very high,high,2,more than 4,big,,unacceptable
very high,high,2,more than 4,big,high,unacceptable
,high,3,2,small,low,unacceptable
very high,high,3,2,small,,unacceptable
very high,,3,2,small,high,unacceptable
very high,high,3,2,medium,low,unacceptable
very high,,3,2,,medium,unacceptable
very high,high,3,,medium,high,unacceptable
very high,high,3,2,big,low,unacceptable
very high,,3,2,big,medium,unacceptable
very high,high,3,2,big,high,unacceptable
very high,high,3,4,small,,unacceptable
very high,high,3,4,,medium,unacceptable
very high,high,3,4,small,high,unacceptable
very high,,3,4,medium,,unacceptable
very high,high,,4,medium,medium,unacceptable
very high,high,3,4,,high,
very high,high,3,4,big,low,unacceptable
very high,high,3,4,big,medium,unacceptable
very high,high,3,4,big,high,unacceptable
very high,,,more than 4,small,low,unacceptable
very high,high,3,,small,medium,unacceptable
very high,high,3,more than 4,small,high,unacceptable
very high,high,3,more than 4,medium,low,unacceptable
very high,,3,more than 4,medium,medium,unacceptable
very high,high,3,more than 4,medium,high,unacceptable
very high,high,3,,big,low,unacceptable
very high,high,3,more than 4,big,medium,
very high,high,3,more than 4,big,,unacceptable
very high,,4,2,small,low,unacceptable
very high,high,4,2,small,medium,unacceptable
very high,high,4,2,small,high,unacceptable
very high,high,4,2,,low,unacceptable
very high,high,4,2,medium,medium,
very high,high,4,2,medium,high,unacceptable
very high,high,4,2,big,low,unacceptable
very high,high,4,2,,medium,unacceptable
,high,4,2,,high,unacceptable
very high,high,4,4,,,unacceptable
very high,high,4,4,small,medium,unacceptable
very high,high,4,4,small,,unacceptable
very high,high,4,4,medium,low,unacceptable
very high,high,4,4,medium,medium,unacceptable
very high,,4,4,medium,high,unacceptable
very high,high,4,4,big,low,unacceptable
very high,,4,4,big,medium,unacceptable
very high,high,4,4,big,,unacceptable
very high,high,4,more than 4,,,unacceptable
very high,high,4,more than 4,small,medium,
very high,high,4,more than 4,small,high,unacceptable
very high,high,,more than 4,medium,,unacceptable
,,4,more than 4,medium,medium,unacceptable
very high,high,4,more than 4,medium,,unacceptable
,high,4,more than 4,big,low,unacceptable
very high,,4,more than 4,big,medium,unacceptable
very high,high,,,big,high,unacceptable
very high,high,5 or more,2,small,low,unacceptable
very high,high,5 or more,2,small,medium,unacceptable
very high,,,2,small,high,unacceptable
very high,high,5 or more,2,medium,,unacceptable
very high,high,5 or more,2,medium,medium,unacceptable
very high,high,5 or more,2,medium,high,unacceptable
very high,high,5 or more,2,big,low,unacceptable
very high,high,5 or more,2,big,medium,unacceptable
very high,high,5 or more,2,big,high,unacceptable
very high,high,5 or more,4,small,,unacceptable
very high,high,5 or more,4,small,medium,unacceptable
very high,high,,4,small,high,unacceptable
very high,high,5 or more,4,medium,low,
very high,high,,4,medium,medium,unacceptable
very high,,5 or more,4,medium,,unacceptable
very high,high,5 or more,4,big,low,unacceptable
,high,5 or more,4,big,medium,
very high,high,5 or more,4,big,high,unacceptable
very high,high,5 or more,more than 4,small,,unacceptable
very high,high,5 or more,more than 4,small,medium,unacceptable
very high,high,,more than 4,small,high,unacceptable
very high,high,5 or more,more than 4,medium,low,unacceptable
very high,high,5 or more,more than 4,medium,medium,
very high,high,5 or more,more than 4,medium,high,unacceptable
very high,high,,more than 4,big,low,unacceptable
very high,high,5 or more,more than 4,,medium,unacceptable
very high,high,5 or more,more than 4,big,high,unacceptable
very high,,2,,small,low,unacceptable
very high,,2,2,small,medium,unacceptable
very high,medium,2,2,small,high,unacceptable
very high,medium,2,2,medium,low,unacceptable
very high,medium,2,2,medium,medium,unacceptable
very high,,2,2,medium,high,unacceptable
very high,medium,2,2,big,low,unacceptable
very high,medium,2,2,big,medium,
very high,medium,2,2,big,high,unacceptable
,,2,4,small,low,unacceptable
very high,medium,2,4,small,medium,unacceptable
very high,medium,2,4,small,high,acceptable
very high,,,4,medium,low,unacceptable
very high,,2,,medium,medium,unacceptable
very high,medium,2,4,medium,high,acceptable
very high,medium,2,4,,low,unacceptable
very high,medium,2,4,,medium,acceptable
very high,medium,2,4,big,high,acceptable
very high,medium,2,more than 4,small,low,
very high,medium,2,more than 4,small,,unacceptable
very high,medium,,more than 4,small,high,unacceptable
very high,medium,2,more than 4,medium,low,unacceptable
very high,medium,2,more than 4,medium,medium,unacceptable
very high,medium,2,,medium,high,acceptable
very high,medium,2,more than 4,big,low,unacceptable
