class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
poisonous,convex,smooth,brown,,,,close,narrow,black,,equal,smooth,,,,partial,white,one,,black,,
edible,convex,smooth,,bruises,almond,,close,,,enlarging,club,smooth,smooth,,white,partial,,one,,brown,,grasses
edible,bell,smooth,,bruises,anise,free,close,broad,brown,,,,smooth,white,,partial,white,,pendant,,numerous,
poisonous,convex,,,bruises,pungent,free,close,,brown,,equal,smooth,smooth,,white,partial,white,one,pendant,black,,urban
edible,convex,smooth,gray,no,none,,,,black,tapering,equal,smooth,,white,white,,,,,brown,abundant,grasses
edible,convex,,yellow,bruises,almond,free,close,,,enlarging,club,smooth,,white,white,,,one,pendant,black,numerous,grasses
edible,bell,smooth,,bruises,almond,,,broad,gray,,,smooth,,,white,partial,,one,pendant,,numerous,meadows
edible,bell,scaly,,bruises,anise,,,broad,brown,,club,,smooth,,white,partial,white,,pendant,,scattered,meadows
,convex,scaly,white,bruises,,,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,,,pendant,black,,
edible,,,yellow,bruises,almond,,close,,gray,enlarging,club,smooth,smooth,white,,partial,,,pendant,black,scattered,meadows
edible,convex,scaly,yellow,,anise,,,broad,,enlarging,club,smooth,smooth,,white,partial,white,one,pendant,,numerous,grasses
edible,,scaly,yellow,bruises,almond,,close,broad,,enlarging,club,smooth,smooth,white,white,,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,almond,free,,broad,,enlarging,club,,smooth,,,partial,white,,pendant,brown,,grasses
,,scaly,white,bruises,pungent,free,close,narrow,black,,equal,,,white,white,partial,white,,,,several,urban
edible,,fibrous,brown,no,none,free,,broad,brown,,,,,white,white,partial,,one,evanescent,,abundant,grasses
edible,sunken,,gray,no,none,free,close,,,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
,,,,,none,,crowded,broad,,tapering,,,smooth,white,white,partial,white,,,brown,abundant,grasses
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,,enlarging,equal,smooth,smooth,white,white,,white,,pendant,black,scattered,grasses
poisonous,convex,,white,bruises,pungent,free,close,,brown,,equal,smooth,smooth,white,,,white,one,,,scattered,
poisonous,convex,,,bruises,pungent,free,close,narrow,black,enlarging,equal,,smooth,white,white,partial,,one,,brown,,
,bell,smooth,yellow,bruises,almond,,close,,black,,club,,smooth,white,white,,white,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,,,pungent,free,close,narrow,,,equal,smooth,smooth,,white,partial,white,one,pendant,brown,several,
edible,bell,scaly,yellow,bruises,anise,free,close,,,enlarging,club,smooth,,white,white,partial,white,one,pendant,brown,,
edible,bell,scaly,white,bruises,almond,free,close,,white,,club,smooth,,white,white,partial,,one,pendant,brown,numerous,meadows
edible,bell,smooth,white,,,free,close,broad,,,,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
poisonous,,smooth,white,,pungent,free,close,narrow,brown,,,,,,,partial,,one,pendant,brown,several,
,,,,,,,close,,brown,enlarging,club,,smooth,white,,partial,white,,,brown,numerous,
,convex,scaly,white,bruises,anise,free,,,white,enlarging,club,smooth,,white,white,,,one,,brown,,meadows
,flat,fibrous,brown,no,none,,close,narrow,black,enlarging,,,smooth,white,white,partial,white,one,,,,
,,,,bruises,,free,crowded,narrow,,tapering,bulbous,smooth,smooth,,,partial,white,one,pendant,,several,
edible,bell,smooth,,,anise,,close,,gray,enlarging,,smooth,,,white,partial,white,,pendant,brown,numerous,meadows
poisonous,convex,scaly,white,bruises,,free,close,,,enlarging,equal,smooth,,white,,,,one,pendant,brown,scattered,urban
edible,convex,scaly,yellow,bruises,anise,free,close,,brown,enlarging,club,smooth,smooth,,white,partial,white,,pendant,brown,numerous,meadows
edible,,scaly,,bruises,,free,close,broad,pink,enlarging,,smooth,,white,white,,,one,pendant,brown,solitary,paths
,bell,,yellow,bruises,anise,free,close,,brown,enlarging,club,,smooth,white,white,partial,white,one,,brown,scattered,meadows
edible,convex,fibrous,yellow,,anise,free,,narrow,white,tapering,bulbous,smooth,,white,white,,white,one,pendant,brown,several,woods
edible,sunken,,gray,,,free,close,narrow,black,enlarging,equal,,smooth,,white,,white,,pendant,black,several,
poisonous,,scaly,,,,free,close,,white,enlarging,equal,smooth,smooth,white,,,white,one,pendant,,scattered,urban
,,fibrous,yellow,,,,crowded,,,tapering,,smooth,,,,partial,white,one,pendant,brown,,
edible,,,,,,free,close,broad,black,enlarging,,smooth,smooth,,white,partial,white,one,,black,scattered,
edible,bell,scaly,yellow,bruises,,,close,broad,,,club,smooth,smooth,,,,white,,pendant,,scattered,grasses
edible,,,,bruises,anise,free,close,broad,,enlarging,rooted,smooth,scaly,,,partial,,one,,black,,paths
edible,,fibrous,brown,no,none,free,,,,enlarging,,smooth,smooth,white,white,,,one,pendant,black,solitary,
poisonous,convex,scaly,,bruises,pungent,,close,,pink,enlarging,,smooth,smooth,white,white,partial,white,one,,brown,,grasses
edible,,smooth,yellow,,almond,free,,broad,,enlarging,club,smooth,smooth,white,white,partial,white,,pendant,,,
edible,convex,scaly,,bruises,almond,free,close,broad,brown,enlarging,,,smooth,,white,partial,white,one,pendant,brown,numerous,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,,,enlarging,,,,,,partial,white,one,pendant,,scattered,meadows
,convex,smooth,white,bruises,anise,,close,,white,enlarging,club,smooth,,,,,white,one,,brown,numerous,meadows
edible,,scaly,yellow,bruises,,free,,,brown,enlarging,rooted,,scaly,,,partial,white,one,pendant,brown,scattered,
edible,flat,,yellow,bruises,,,close,,white,enlarging,rooted,smooth,scaly,white,white,partial,,one,pendant,black,scattered,paths
edible,convex,scaly,brown,bruises,almond,,close,broad,,enlarging,,smooth,scaly,,white,partial,white,,,black,scattered,grasses
,convex,smooth,white,,anise,free,close,broad,black,enlarging,,smooth,smooth,,white,partial,,one,pendant,black,,grasses
edible,bell,smooth,,bruises,,,close,broad,black,enlarging,club,,smooth,white,white,,white,one,,,numerous,meadows
,convex,,brown,bruises,pungent,free,close,,black,enlarging,equal,,,,white,partial,white,one,pendant,,several,urban
poisonous,convex,smooth,white,,,free,close,narrow,black,,,smooth,smooth,,white,,white,,pendant,black,several,
,bell,scaly,yellow,,almond,free,close,,white,,,smooth,,white,white,partial,white,,pendant,black,,meadows
,,fibrous,,no,none,free,,,,tapering,equal,,smooth,,white,partial,white,one,evanescent,brown,abundant,
edible,bell,smooth,white,bruises,almond,free,,,,,club,,smooth,white,,partial,white,one,pendant,brown,,grasses
edible,convex,,yellow,,,,close,broad,black,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,black,numerous,grasses
edible,,scaly,brown,,almond,free,close,,pink,enlarging,,,scaly,,white,partial,,one,pendant,black,solitary,paths
,sunken,fibrous,,no,none,free,,narrow,black,,,,smooth,white,white,partial,,one,pendant,,,
edible,bell,scaly,yellow,bruises,almond,free,,,,,club,smooth,,,white,partial,white,one,,,scattered,meadows
,bell,smooth,yellow,bruises,anise,free,close,,,enlarging,club,,smooth,white,,partial,white,one,,brown,scattered,meadows
edible,bell,scaly,yellow,bruises,,free,close,broad,,enlarging,club,smooth,,white,white,,white,one,pendant,brown,numerous,meadows
edible,bell,scaly,white,bruises,anise,free,close,broad,,enlarging,,smooth,smooth,white,white,partial,white,,pendant,,,grasses
edible,flat,smooth,brown,no,none,free,,broad,black,tapering,equal,smooth,smooth,white,white,partial,white,,,,abundant,grasses
,convex,,white,bruises,,free,,,brown,enlarging,club,smooth,smooth,white,,partial,,,pendant,,scattered,grasses
,flat,,yellow,bruises,almond,free,,broad,white,enlarging,rooted,smooth,,,white,partial,white,one,pendant,,scattered,
edible,convex,scaly,,bruises,almond,free,,broad,white,,,,smooth,white,white,,white,one,pendant,black,,grasses
edible,convex,fibrous,gray,no,,,close,narrow,,,,smooth,,white,,partial,,one,,brown,,urban
edible,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,pink,tapering,,smooth,smooth,,white,,white,,pendant,brown,several,woods
edible,bell,,white,,anise,free,close,broad,gray,enlarging,,smooth,,white,white,partial,,one,,brown,,meadows
edible,flat,fibrous,yellow,bruises,anise,free,crowded,narrow,white,,bulbous,,smooth,white,white,partial,white,one,pendant,,several,
edible,convex,scaly,brown,bruises,,free,close,broad,pink,enlarging,,smooth,scaly,,white,,,,pendant,black,scattered,paths
edible,bell,smooth,,bruises,,free,close,,,enlarging,club,,smooth,,white,partial,,,,black,,grasses
,flat,smooth,yellow,bruises,anise,free,crowded,narrow,,tapering,bulbous,,smooth,white,white,partial,white,,pendant,brown,,
edible,,smooth,,,,free,crowded,narrow,brown,,bulbous,smooth,smooth,,white,,white,one,pendant,purple,several,woods
edible,flat,scaly,brown,bruises,anise,free,,broad,,enlarging,rooted,smooth,scaly,white,white,partial,,one,,brown,solitary,paths
,,scaly,,,,free,close,narrow,,enlarging,equal,smooth,,,,partial,white,,,,several,
edible,flat,scaly,,,almond,free,close,broad,,enlarging,rooted,,scaly,white,white,partial,white,one,,brown,solitary,
edible,convex,smooth,brown,no,,,,broad,black,,equal,fibrous,smooth,white,,partial,white,one,evanescent,brown,scattered,
poisonous,convex,scaly,,,,free,close,,white,enlarging,equal,smooth,smooth,white,,partial,white,one,pendant,black,,grasses
,,fibrous,gray,,none,free,,narrow,brown,enlarging,,smooth,smooth,white,,partial,,one,,brown,solitary,urban
,convex,fibrous,gray,no,none,free,crowded,broad,brown,tapering,equal,,smooth,white,white,,white,one,evanescent,,scattered,grasses
edible,convex,scaly,yellow,,anise,free,,,white,enlarging,rooted,smooth,scaly,white,,partial,white,,,black,scattered,grasses
edible,convex,smooth,brown,no,,free,crowded,broad,black,tapering,,smooth,smooth,,,partial,,one,,black,,grasses
edible,bell,,white,bruises,almond,,,broad,white,enlarging,club,smooth,,white,,partial,white,one,,,,
,convex,,,bruises,anise,free,,broad,,,club,,smooth,white,white,partial,,one,pendant,brown,scattered,
edible,,scaly,brown,,anise,,close,broad,white,enlarging,rooted,,,,,partial,white,one,,black,solitary,
edible,sunken,,brown,no,,free,close,narrow,brown,enlarging,equal,smooth,,white,white,partial,,one,,,,urban
edible,convex,,brown,no,none,,close,narrow,brown,,,smooth,smooth,white,white,,white,one,pendant,brown,solitary,
edible,,smooth,white,bruises,anise,free,close,broad,,enlarging,club,smooth,smooth,white,,partial,,,,black,scattered,
edible,convex,,yellow,bruises,almond,free,close,broad,gray,enlarging,,smooth,smooth,,,partial,white,one,pendant,,scattered,
edible,convex,scaly,yellow,bruises,anise,free,close,broad,gray,enlarging,club,,smooth,white,,,,one,pendant,black,numerous,meadows
edible,convex,smooth,brown,no,,free,crowded,broad,,,equal,,smooth,,white,partial,white,one,,,abundant,grasses
edible,convex,smooth,white,bruises,,free,close,broad,,enlarging,club,smooth,smooth,white,white,,white,,pendant,brown,,grasses
,flat,scaly,brown,,anise,free,close,broad,,enlarging,,smooth,scaly,,,,white,one,pendant,,,grasses
,convex,smooth,yellow,bruises,almond,,,,brown,,club,smooth,smooth,white,,partial,white,,,black,numerous,grasses
edible,bell,smooth,white,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,,white,,white,one,pendant,brown,scattered,grasses
edible,convex,,,bruises,almond,,,,gray,enlarging,club,,smooth,,,partial,,,,,,grasses
edible,convex,fibrous,,no,none,,crowded,,pink,tapering,equal,fibrous,smooth,white,,,white,one,evanescent,black,scattered,grasses
edible,bell,smooth,yellow,,anise,,,,brown,enlarging,,smooth,smooth,white,,partial,white,,,black,numerous,grasses
edible,flat,scaly,,bruises,anise,free,close,broad,,enlarging,,smooth,,,white,,white,one,,,scattered,grasses
edible,convex,scaly,yellow,bruises,almond,,close,broad,brown,enlarging,rooted,smooth,scaly,white,white,partial,white,one,pendant,black,solitary,
edible,,scaly,white,,,free,close,broad,,enlarging,club,smooth,smooth,white,,partial,white,one,,brown,,grasses
edible,convex,,,bruises,,,close,broad,,enlarging,,smooth,smooth,white,white,partial,white,,pendant,black,numerous,meadows
edible,,scaly,yellow,bruises,almond,free,close,,,,rooted,,scaly,white,white,partial,,one,pendant,brown,solitary,grasses
edible,bell,scaly,white,,anise,,close,broad,,enlarging,club,smooth,smooth,white,,partial,,one,,black,scattered,
edible,bell,scaly,white,bruises,almond,,,broad,gray,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,,,meadows
edible,convex,smooth,,bruises,almond,free,close,broad,,enlarging,club,smooth,smooth,,,partial,white,,,black,,meadows
edible,convex,,,bruises,anise,free,,broad,white,enlarging,club,smooth,smooth,,white,,white,one,,black,,grasses
edible,,fibrous,gray,,,free,close,narrow,,,equal,,,,white,partial,white,one,pendant,black,,urban
edible,convex,fibrous,white,,almond,free,crowded,narrow,white,,bulbous,,smooth,white,white,partial,white,,pendant,,several,
,convex,,yellow,bruises,,free,,,brown,,club,,,white,white,,white,,pendant,black,numerous,meadows
poisonous,convex,scaly,white,,pungent,free,close,narrow,brown,,,smooth,smooth,white,white,partial,white,,,brown,several,
edible,convex,scaly,yellow,bruises,,free,close,,pink,enlarging,rooted,smooth,,white,white,partial,,one,pendant,,,grasses
edible,sunken,fibrous,gray,no,,free,,narrow,,,equal,,smooth,,white,partial,,,pendant,brown,solitary,urban
edible,,scaly,yellow,bruises,anise,free,close,broad,white,enlarging,,,scaly,white,,,,,pendant,black,solitary,grasses
,,smooth,yellow,bruises,,free,crowded,narrow,pink,tapering,bulbous,,,,white,partial,white,,pendant,purple,several,woods
edible,sunken,,brown,,,,close,narrow,black,,equal,smooth,smooth,white,,partial,white,,pendant,brown,solitary,
,,smooth,white,,pungent,free,,narrow,black,,,smooth,smooth,white,white,,,one,,,several,grasses
edible,convex,,white,,almond,free,close,broad,gray,,club,smooth,,white,white,,white,one,pendant,brown,numerous,meadows
poisonous,,scaly,brown,,pungent,free,,narrow,pink,enlarging,,,smooth,white,,partial,,one,pendant,black,,grasses
,flat,smooth,,,none,free,crowded,,black,tapering,equal,smooth,smooth,white,white,partial,white,,evanescent,brown,abundant,
,convex,,yellow,,,,,broad,,enlarging,club,smooth,smooth,white,white,,white,one,pendant,brown,scattered,meadows
edible,convex,,white,,none,free,,,,tapering,equal,smooth,fibrous,white,white,partial,white,one,,black,scattered,
edible,,,yellow,,almond,free,,broad,,enlarging,club,,,white,white,,white,one,pendant,brown,numerous,grasses
edible,flat,,gray,no,none,free,crowded,broad,chocolate,tapering,,smooth,smooth,,white,partial,white,,,brown,,grasses
