class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
,convex,smooth,brown,,,,close,narrow,black,,equal,smooth,,,,,white,,,black,,
,,smooth,,bruises,almond,,close,,,enlarging,club,smooth,,,white,,,,,brown,,grasses
,bell,smooth,,bruises,anise,free,close,broad,brown,,,,,,,partial,,,pendant,,numerous,
poisonous,convex,,,bruises,pungent,free,close,,,,equal,smooth,,,,,white,one,pendant,,,urban
edible,convex,smooth,,no,,,,,black,,equal,smooth,,,white,,,,,brown,abundant,grasses
edible,convex,,yellow,bruises,almond,free,,,,,club,smooth,,white,,,,,pendant,,numerous,grasses
,bell,smooth,,,,,,broad,gray,,,smooth,,,,partial,,one,pendant,,numerous,
edible,bell,scaly,,bruises,,,,broad,brown,,club,,smooth,,white,,white,,,,scattered,meadows
,convex,scaly,white,bruises,,,close,narrow,pink,,,smooth,smooth,white,white,partial,,,pendant,black,,
edible,,,yellow,bruises,almond,,close,,,enlarging,club,smooth,smooth,white,,,,,pendant,,scattered,meadows
edible,convex,scaly,,,anise,,,broad,,enlarging,club,smooth,,,white,,white,one,pendant,,,grasses
,,scaly,yellow,bruises,almond,,close,broad,,enlarging,club,smooth,smooth,white,,,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,,,,broad,,,club,,smooth,,,partial,,,pendant,brown,,grasses
,,scaly,white,bruises,pungent,free,close,,black,,,,,white,white,partial,,,,,several,urban
edible,,fibrous,brown,no,none,,,,brown,,,,,white,white,,,,,,,
edible,sunken,,,no,none,free,close,,,enlarging,,smooth,smooth,white,,partial,,one,pendant,,solitary,urban
,,,,,none,,,broad,,tapering,,,smooth,white,white,partial,white,,,brown,abundant,grasses
,,smooth,,bruises,pungent,,close,narrow,,enlarging,equal,smooth,,white,,,white,,,black,scattered,grasses
poisonous,,,,bruises,pungent,free,close,,,,equal,,smooth,,,,white,one,,,scattered,
poisonous,convex,,,bruises,,,close,narrow,black,enlarging,,,smooth,white,,partial,,,,,,
,bell,smooth,yellow,bruises,,,close,,black,,club,,smooth,white,white,,white,one,pendant,brown,scattered,
poisonous,convex,scaly,,,pungent,free,,narrow,,,,,smooth,,white,partial,white,one,,brown,several,
