class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
poisonous,convex,smooth,brown,,,,close,narrow,black,,equal,smooth,smooth,,,partial,white,one,pendant,black,,urban
edible,convex,smooth,,bruises,almond,,close,,,enlarging,club,smooth,smooth,,white,partial,,one,,brown,numerous,grasses
edible,bell,smooth,,bruises,anise,free,close,broad,brown,,,,smooth,white,white,partial,white,one,pendant,,numerous,
poisonous,convex,,,bruises,pungent,free,close,,brown,,equal,smooth,smooth,,white,partial,white,one,pendant,black,,urban
edible,convex,smooth,gray,no,none,,,,black,tapering,equal,smooth,smooth,white,white,partial,,one,,brown,abundant,grasses
edible,convex,,yellow,bruises,almond,free,close,,brown,enlarging,club,smooth,,white,white,partial,,one,pendant,black,numerous,grasses
edible,bell,smooth,white,bruises,almond,free,,broad,gray,,club,smooth,smooth,,white,partial,white,one,pendant,black,numerous,meadows
edible,bell,scaly,,bruises,anise,,,broad,brown,,club,smooth,smooth,,white,partial,white,,pendant,,scattered,meadows
poisonous,convex,scaly,white,bruises,pungent,,close,narrow,pink,enlarging,equal,smooth,smooth,white,white,partial,,,pendant,black,,
edible,,,yellow,bruises,almond,free,close,broad,gray,enlarging,club,smooth,smooth,white,,partial,white,one,pendant,black,scattered,meadows
edible,convex,scaly,yellow,,anise,free,,broad,,enlarging,club,smooth,smooth,,white,partial,white,one,pendant,brown,numerous,grasses
edible,,scaly,yellow,bruises,almond,,close,broad,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,almond,free,,broad,,enlarging,club,smooth,smooth,,,partial,white,,pendant,brown,scattered,grasses
,,scaly,white,bruises,pungent,free,close,narrow,black,enlarging,equal,,,white,white,partial,white,,,brown,several,urban
edible,convex,fibrous,brown,no,none,free,crowded,broad,brown,,,,,white,white,partial,,one,evanescent,,abundant,grasses
edible,sunken,,gray,no,none,free,close,,,enlarging,,smooth,smooth,white,white,partial,white,one,pendant,brown,solitary,urban
,,,,,none,,crowded,broad,,tapering,equal,,smooth,white,white,partial,white,one,,brown,abundant,grasses
poisonous,convex,smooth,brown,bruises,pungent,free,close,narrow,,enlarging,equal,smooth,smooth,white,white,,white,,pendant,black,scattered,grasses
