class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
,convex,smooth,brown,,,,close,narrow,black,,equal,smooth,,,,,white,one,,black,,
,convex,smooth,,bruises,almond,,close,,,enlarging,club,smooth,,,white,partial,,one,,brown,,grasses
,bell,smooth,,bruises,anise,free,close,broad,brown,,,,,,,partial,,,pendant,,numerous,
poisonous,convex,,,bruises,pungent,free,close,,,,equal,smooth,,,,,white,one,pendant,black,,urban
edible,convex,smooth,gray,no,none,,,,black,,equal,smooth,,white,white,,,,,brown,abundant,grasses
edible,convex,,yellow,bruises,almond,free,,,,enlarging,club,smooth,,white,white,,,,pendant,,numerous,grasses
,bell,smooth,,bruises,,,,broad,gray,,,smooth,,,white,partial,,one,pendant,,numerous,
edible,bell,scaly,,bruises,,,,broad,brown,,club,,smooth,,white,,white,,,,scattered,meadows
,convex,scaly,white,bruises,,,close,narrow,pink,,,smooth,smooth,white,white,partial,,,pendant,black,,
edible,,,yellow,bruises,almond,,close,,,enlarging,club,smooth,smooth,white,,,,,pendant,,scattered,meadows
edible,convex,scaly,yellow,,anise,,,broad,,enlarging,club,smooth,,,white,partial,white,one,pendant,,,grasses
,,scaly,yellow,bruises,almond,,close,broad,,enlarging,club,smooth,smooth,white,,,white,one,pendant,black,scattered,meadows
edible,bell,smooth,yellow,bruises,,,,broad,,enlarging,club,,smooth,,,partial,,,pendant,brown,,grasses
,,scaly,white,bruises,pungent,free,close,,black,,equal,,,white,white,partial,white,,,,several,urban
edible,,fibrous,brown,no,none,free,,,brown,,,,,white,white,partial,,one,evanescent,,abundant,
edible,sunken,,,no,none,free,close,,,enlarging,,smooth,smooth,white,,partial,white,one,pendant,,solitary,urban
,,,,,none,,,broad,,tapering,,,smooth,white,white,partial,white,,,brown,abundant,grasses
poisonous,,smooth,,bruises,pungent,free,close,narrow,,enlarging,equal,smooth,,white,,,white,,,black,scattered,grasses
poisonous,convex,,,bruises,pungent,free,close,,brown,,equal,smooth,smooth,,,,white,one,,,scattered,
poisonous,convex,,,bruises,,,close,narrow,black,enlarging,,,smooth,white,white,partial,,one,,brown,,
,bell,smooth,yellow,bruises,,,close,,black,,club,,smooth,white,white,,white,one,pendant,brown,scattered,meadows
poisonous,convex,scaly,,,pungent,free,close,narrow,,,equal,,smooth,,white,partial,white,one,,brown,several,
edible,bell,scaly,yellow,bruises,anise,free,close,,,,club,smooth,,white,,partial,white,one,pendant,brown,,
edible,bell,scaly,white,bruises,almond,free,close,,white,,club,smooth,,white,white,,,one,pendant,brown,numerous,meadows
edible,bell,smooth,white,,,free,close,broad,,,,,smooth,,white,partial,,one,pendant,,scattered,meadows
poisonous,,smooth,white,,pungent,free,close,,brown,,,,,,,partial,,,pendant,brown,several,
,,,,,,,close,,,enlarging,club,,smooth,white,,partial,white,,,brown,numerous,
,,scaly,white,,anise,free,,,white,enlarging,club,smooth,,white,white,,,,,,,
,flat,fibrous,brown,no,none,,close,narrow,black,enlarging,,,,white,white,,white,one,,,,
,,,,bruises,,free,crowded,narrow,,,bulbous,smooth,smooth,,,partial,white,one,pendant,,several,
,bell,smooth,,,anise,,close,,gray,enlarging,,,,,white,,white,,pendant,brown,numerous,meadows
poisonous,,scaly,white,bruises,,free,close,,,enlarging,equal,smooth,,white,,,,one,pendant,brown,,urban
,convex,scaly,,bruises,,free,close,,brown,,club,smooth,smooth,,white,partial,,,pendant,brown,numerous,meadows
edible,,,,bruises,,free,close,broad,,enlarging,,smooth,,,white,,,one,pendant,brown,solitary,paths
,,,yellow,bruises,anise,free,close,,brown,enlarging,club,,smooth,white,white,partial,white,one,,brown,scattered,meadows
edible,convex,fibrous,yellow,,anise,free,,narrow,white,tapering,bulbous,,,,white,,,,pendant,brown,,
edible,sunken,,gray,,,free,close,narrow,,enlarging,equal,,smooth,,white,,white,,pendant,black,several,
poisonous,,scaly,,,,free,close,,white,enlarging,equal,smooth,smooth,white,,,white,one,,,scattered,urban
,,fibrous,yellow,,,,crowded,,,tapering,,smooth,,,,partial,white,one,,brown,,
edible,,,,,,free,close,broad,black,,,,smooth,,white,partial,white,one,,black,scattered,
edible,bell,scaly,yellow,bruises,,,close,broad,,,club,smooth,smooth,,,,white,,pendant,,scattered,grasses
edible,,,,bruises,anise,free,close,broad,,enlarging,rooted,,scaly,,,partial,,one,,,,
edible,,fibrous,brown,no,none,free,,,,enlarging,,smooth,smooth,,white,,,one,pendant,black,solitary,
poisonous,convex,scaly,,bruises,,,close,,pink,enlarging,,smooth,smooth,white,white,partial,white,one,,brown,,grasses
edible,,smooth,yellow,,almond,free,,broad,,enlarging,club,smooth,smooth,white,white,,white,,pendant,,,
edible,,scaly,,,almond,free,,broad,brown,enlarging,,,smooth,,white,partial,white,one,pendant,,numerous,grasses
edible,convex,scaly,yellow,bruises,anise,free,close,,,,,,,,,partial,white,,pendant,,scattered,meadows
,convex,smooth,white,bruises,anise,,close,,white,enlarging,club,smooth,,,,,white,,,brown,numerous,meadows
edible,,,yellow,bruises,,free,,,brown,enlarging,rooted,,scaly,,,partial,white,one,pendant,brown,scattered,
edible,,,yellow,bruises,,,close,,white,enlarging,rooted,smooth,scaly,,white,partial,,one,pendant,black,scattered,paths
edible,convex,scaly,brown,bruises,almond,,close,broad,,enlarging,,,scaly,,white,partial,white,,,black,scattered,grasses
,convex,smooth,white,,anise,free,close,,black,enlarging,,smooth,smooth,,,partial,,one,,black,,grasses
edible,bell,smooth,,bruises,,,,broad,black,enlarging,club,,smooth,white,white,,white,one,,,numerous,meadows
,convex,,brown,bruises,pungent,free,,,black,enlarging,equal,,,,white,,white,one,pendant,,several,urban
poisonous,convex,smooth,white,,,free,close,narrow,black,,,smooth,smooth,,white,,white,,pendant,,several,
,,scaly,yellow,,almond,free,close,,white,,,smooth,,white,white,partial,white,,,black,,
,,,,no,none,free,,,,tapering,equal,,smooth,,white,partial,white,one,evanescent,,abundant,
edible,bell,smooth,white,bruises,almond,free,,,,,club,,smooth,,,partial,white,one,pendant,brown,,grasses
edible,convex,,yellow,,,,close,broad,black,enlarging,club,,,white,,partial,white,one,pendant,black,numerous,grasses
edible,,scaly,brown,,almond,free,close,,pink,enlarging,,,scaly,,white,partial,,one,pendant,black,,paths
,,fibrous,,no,,free,,narrow,black,,,,smooth,,white,partial,,one,pendant,,,
edible,bell,scaly,yellow,bruises,almond,free,,,,,club,smooth,,,white,partial,,one,,,scattered,meadows
,bell,smooth,yellow,bruises,anise,free,close,,,,club,,smooth,white,,partial,white,one,,brown,scattered,meadows
edible,bell,scaly,yellow,bruises,,free,close,broad,,enlarging,,smooth,,white,white,,white,one,pendant,brown,numerous,meadows
edible,bell,,white,bruises,anise,free,close,broad,,enlarging,,,,,white,,white,,,,,grasses
edible,flat,smooth,,no,none,free,,,,,equal,smooth,smooth,white,white,partial,white,,,,abundant,grasses
,convex,,white,,,free,,,,enlarging,club,,smooth,white,,partial,,,pendant,,scattered,grasses
,flat,,yellow,bruises,almond,free,,broad,white,enlarging,rooted,smooth,,,white,partial,white,one,,,scattered,
edible,convex,scaly,,bruises,almond,free,,broad,white,,,,smooth,white,white,,,one,pendant,black,,grasses
edible,convex,fibrous,gray,no,,,close,narrow,,,,smooth,,,,,,one,,brown,,urban
edible,flat,fibrous,,,anise,free,crowded,narrow,pink,tapering,,smooth,smooth,,white,,white,,pendant,brown,,woods
edible,bell,,,,anise,free,close,broad,gray,enlarging,,smooth,,white,white,partial,,,,,,meadows
edible,,,yellow,bruises,anise,free,crowded,narrow,white,,bulbous,,smooth,,white,partial,white,one,,,several,
edible,,scaly,brown,bruises,,free,close,broad,pink,enlarging,,smooth,,,,,,,pendant,black,scattered,paths
,bell,smooth,,bruises,,free,close,,,enlarging,club,,smooth,,white,partial,,,,,,grasses
,flat,smooth,yellow,bruises,,free,crowded,narrow,,tapering,bulbous,,,white,white,partial,white,,pendant,brown,,
edible,,smooth,,,,free,crowded,narrow,brown,,bulbous,smooth,smooth,,white,,,one,pendant,,,woods
edible,flat,scaly,brown,,anise,free,,broad,,enlarging,rooted,smooth,scaly,white,white,partial,,one,,brown,solitary,paths
,,scaly,,,,free,close,,,,equal,smooth,,,,partial,white,,,,several,
edible,flat,,,,almond,free,close,broad,,enlarging,rooted,,scaly,white,white,partial,white,one,,,solitary,
,convex,smooth,brown,no,,,,broad,black,,equal,fibrous,smooth,white,,partial,white,one,evanescent,brown,scattered,
poisonous,convex,scaly,,,,free,close,,white,enlarging,equal,smooth,smooth,white,,partial,white,one,pendant,black,,grasses
,,fibrous,gray,,none,free,,narrow,brown,enlarging,,,smooth,white,,partial,,one,,brown,,
,,fibrous,gray,,none,free,crowded,broad,,tapering,equal,,smooth,,white,,white,one,evanescent,,scattered,grasses
edible,convex,scaly,yellow,,anise,free,,,,enlarging,rooted,smooth,scaly,white,,,white,,,black,scattered,grasses
edible,convex,smooth,brown,no,,free,crowded,,black,tapering,,,,,,partial,,one,,black,,grasses
edible,bell,,white,bruises,almond,,,broad,white,enlarging,club,smooth,,white,,partial,white,one,,,,
,convex,,,bruises,anise,free,,broad,,,club,,smooth,white,,partial,,one,pendant,brown,scattered,
edible,,scaly,brown,,anise,,close,broad,white,enlarging,,,,,,partial,white,one,,black,solitary,
edible,sunken,,brown,no,,free,close,narrow,brown,enlarging,equal,smooth,,white,white,partial,,one,,,,
edible,convex,,brown,no,none,,close,narrow,brown,,,smooth,smooth,white,white,,white,one,,brown,solitary,
edible,,smooth,white,bruises,anise,,close,broad,,enlarging,club,,smooth,white,,partial,,,,black,scattered,
edible,convex,,yellow,bruises,almond,free,close,broad,gray,enlarging,,smooth,smooth,,,partial,white,one,pendant,,scattered,
edible,convex,scaly,yellow,,anise,free,close,,gray,enlarging,,,smooth,white,,,,,pendant,black,numerous,meadows
,convex,smooth,brown,no,,free,,broad,,,equal,,smooth,,white,partial,white,,,,,grasses
edible,convex,smooth,white,bruises,,free,close,broad,,enlarging,club,smooth,smooth,,white,,white,,pendant,brown,,grasses
,flat,scaly,brown,,anise,free,,broad,,enlarging,,smooth,scaly,,,,white,,pendant,,,grasses
,convex,smooth,yellow,bruises,almond,,,,brown,,club,smooth,smooth,white,,partial,white,,,black,numerous,grasses
edible,bell,smooth,white,,almond,free,close,broad,gray,enlarging,club,smooth,smooth,,white,,,one,pendant,brown,scattered,grasses
edible,convex,,,,almond,,,,gray,,club,,smooth,,,partial,,,,,,
edible,convex,fibrous,,no,,,crowded,,,tapering,equal,fibrous,smooth,white,,,,one,evanescent,black,scattered,grasses
,bell,smooth,yellow,,anise,,,,brown,enlarging,,,smooth,,,partial,white,,,,numerous,grasses
edible,,scaly,,bruises,anise,free,close,broad,,enlarging,,smooth,,,white,,white,one,,,scattered,
edible,convex,scaly,yellow,bruises,almond,,,broad,brown,enlarging,rooted,smooth,scaly,white,,partial,,one,pendant,black,,
edible,,scaly,,,,free,close,,,enlarging,,smooth,smooth,,,partial,white,one,,brown,,grasses
edible,,,,,,,close,broad,,enlarging,,smooth,,white,white,partial,white,,pendant,,,
edible,,scaly,yellow,bruises,almond,free,,,,,,,scaly,white,,partial,,one,pendant,brown,solitary,grasses
edible,bell,scaly,white,,,,close,broad,,enlarging,club,smooth,smooth,white,,partial,,one,,black,scattered,
edible,bell,scaly,white,bruises,,,,broad,,enlarging,club,smooth,smooth,white,white,partial,white,one,pendant,,,meadows
edible,convex,smooth,,bruises,almond,free,close,broad,,enlarging,club,smooth,smooth,,,,white,,,black,,meadows
edible,convex,,,bruises,anise,free,,broad,white,enlarging,club,smooth,smooth,,white,,white,one,,,,grasses
edible,,fibrous,gray,,,free,close,narrow,,,equal,,,,white,partial,white,one,,black,,urban
edible,convex,,white,,almond,free,crowded,narrow,white,,bulbous,,smooth,white,white,partial,white,,pendant,,several,
,convex,,yellow,,,free,,,brown,,club,,,white,,,,,pendant,,numerous,meadows
poisonous,convex,,white,,pungent,free,,narrow,brown,,,smooth,smooth,white,white,partial,white,,,brown,several,
,convex,scaly,yellow,bruises,,,,,pink,enlarging,rooted,smooth,,white,white,partial,,one,pendant,,,grasses
edible,,fibrous,,no,,free,,,,,equal,,smooth,,,,,,pendant,brown,solitary,urban
edible,,scaly,yellow,bruises,anise,,close,broad,white,enlarging,,,scaly,white,,,,,pendant,black,,
,,smooth,yellow,bruises,,free,crowded,narrow,pink,,,,,,white,partial,white,,pendant,purple,several,woods
edible,sunken,,,,,,close,narrow,black,,equal,smooth,,white,,,white,,pendant,brown,solitary,
,,smooth,white,,pungent,free,,narrow,black,,,smooth,smooth,white,white,,,one,,,several,grasses
edible,convex,,white,,almond,free,close,broad,gray,,club,smooth,,white,white,,white,one,pendant,brown,numerous,meadows
poisonous,,scaly,brown,,pungent,free,,narrow,pink,enlarging,,,,white,,partial,,,pendant,black,,grasses
,flat,smooth,,,,free,crowded,,black,,,smooth,smooth,white,white,,white,,evanescent,,abundant,
